data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Guangzhou,광저우 바이윈 국제공항,,,,,,https://www.google.com/maps/place/%EA%B4%91%EC%A0%80%EC%9A%B0+%EB%B0%94%EC%9D%B4%EC%9C%88+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x3402e130a02328f3:0xa2467af91f7f31a3!8m2!3d23.3959079!4d113.3079699!16zL20vMDNkbHE1!19sChIJ8ygjoDDhAjQRozF_H_l6RqI?authuser=0&hl=ko&rclk=1,3653,4.1
2,China,Guangzhou,Canton Fair Complex,,,,,,https://www.google.com/maps/place/Canton+Fair+Complex/data=!4m7!3m6!1s0x3402ff94d0f31ef3:0x26ed232c48304434!8m2!3d23.104038!4d113.357894!16s%2Fm%2F0b6p9wt!19sChIJ8x7z0JT_AjQRNEQwSCwj7SY?authuser=0&hl=ko&rclk=1,1392,4.6
3,China,Guangzhou,Canton Tower Wharf,,,,,,https://www.google.com/maps/place/Canton+Tower+Wharf/data=!4m7!3m6!1s0x3402ff6e90c63f4b:0x66415ccedb7abd0a!8m2!3d23.107019!4d113.318771!16s%2Fg%2F11b8c4m55h!19sChIJSz_GkG7_AjQRCr16285cQWY?authuser=0&hl=ko&rclk=1,1258,4.5
4,China,Guangzhou,Guangzhou Exhibition Park （North Gate）,,,,,,https://www.google.com/maps/place/Guangzhou+Exhibition+Park+%EF%BC%88North+Gate%EF%BC%89/data=!4m7!3m6!1s0x3402ff943995ff2b:0x20dc2bf9cee03beb!8m2!3d23.1043565!4d113.353987!16s%2Fg%2F1tf45q70!19sChIJK_-VOZT_AjQR6zvgzvkr3CA?authuser=0&hl=ko&rclk=1,1131,4.5
5,China,Guangzhou,크라운 플라자 광저우 시티 센터,,,,,,https://www.google.com/maps/place/%ED%81%AC%EB%9D%BC%EC%9A%B4+%ED%94%8C%EB%9D%BC%EC%9E%90+%EA%B4%91%EC%A0%80%EC%9A%B0+%EC%8B%9C%ED%8B%B0+%EC%84%BC%ED%84%B0/data=!4m10!3m9!1s0x3402f8d44a778673:0xc993847989ed3afc!5m2!4m1!1i2!8m2!3d23.1384927!4d113.2825504!16s%2Fg%2F1tk_lvk2!19sChIJc4Z3StT4AjQR_DrtiXmEk8k?authuser=0&hl=ko&rclk=1,1054,4.4
6,China,Guangzhou,Yuexiu Park,,,,,,https://www.google.com/maps/place/Yuexiu+Park/data=!4m7!3m6!1s0x3402f92005f0690b:0x314c9a81a6d3d5a7!8m2!3d23.140078!4d113.266241!16s%2Fg%2F1tdfkv43!19sChIJC2nwBSD5AjQRp9XTpoGaTDE?authuser=0&hl=ko&rclk=1,747,4.5
7,China,Guangzhou,Chen Clan Ancestral Hall,,,,,,https://www.google.com/maps/place/Chen+Clan+Ancestral+Hall/data=!4m7!3m6!1s0x3402f8f363673b51:0xd72219dcfd99747f!8m2!3d23.1298714!4d113.2401119!16s%2Fm%2F0fqpbf2!19sChIJUTtnY_P4AjQRf3SZ_dwZItc?authuser=0&hl=ko&rclk=1,703,4.5
8,China,Guangzhou,长隆野生动物世界,,,"8백만㎡ 규모의 야생동물 공원으로, 차에서 동물을 볼 수 있으며 식당과 기념품 가게가 있습니다.",,,https://www.google.com/maps/place/%E9%95%BF%E9%9A%86%E9%87%8E%E7%94%9F%E5%8A%A8%E7%89%A9%E4%B8%96%E7%95%8C/data=!4m7!3m6!1s0x34031efe440e9013:0x1f83444c25fda531!8m2!3d22.999824!4d113.315739!16s%2Fg%2F1yglpsdp2!19sChIJE5AORP4eAzQRMaX9JUxEgx8?authuser=0&hl=ko&rclk=1,616,4.4
9,China,Guangzhou,广州塔,,,2010년에 완공된 604m 높이의 쌍곡면 타워에는 루프탑 전망대가 있습니다.,,,https://www.google.com/maps/place/%E5%B9%BF%E5%B7%9E%E5%A1%94/data=!4m7!3m6!1s0x3402ff9f2907b4c9:0xad05649c7ac62667!8m2!3d23.107481!4d113.3401572!16zL20vMGJtMDV0!19sChIJybQHKZ__AjQRZybGepxkBa0?authuser=0&hl=ko&rclk=1,601,4.6
10,China,Guangzhou,힐튼 광저우 톈허,,,,,,https://www.google.com/maps/place/%ED%9E%90%ED%8A%BC+%EA%B4%91%EC%A0%80%EC%9A%B0+%ED%86%88%ED%97%88/data=!4m10!3m9!1s0x3402fee56f139ebb:0xa5a3059d9c4a6d4b!5m2!4m1!1i2!8m2!3d23.146281!4d113.320612!16s%2Fg%2F1tf8596b!19sChIJu54Tb-X-AjQRS21KnJ0Fo6U?authuser=0&hl=ko&rclk=1,488,4.3
