data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating,popularity
16,China,Dalian,Lvshunkou Scenic Spot,,,,,,https://www.google.com/maps/place/Lvshunkou+Scenic+Spot/data=!4m7!3m6!1s0x358f74b2f255db87:0xc9d21b8ab0332c8d!8m2!3d38.793838!4d121.264941!16s%2Fg%2F1tz93q84!19sChIJh9tV8rJ0jzURjSwzsIob0sk?authuser=0&hl=ko&rclk=1,,3.6,20.0
17,China,Dalian,Dalian Coastal National Geopark,,,,,,https://www.google.com/maps/place/Dalian+Coastal+National+Geopark/data=!4m7!3m6!1s0x3585df111ae2c069:0x49701f2316cf6334!8m2!3d39.069061!4d122.053332!16s%2Fg%2F11g_0h471!19sChIJacDiGhHfhTURNGPPFiMfcEk?authuser=0&hl=ko&rclk=1,,3.9,20.0
18,China,Dalian,Sun Asia Ocean World & Polar World,,,,,,https://www.google.com/maps/place/Sun+Asia+Ocean+World+%26+Polar+World/data=!4m7!3m6!1s0x358f5fbebcf84c75:0xc1615a0409b550db!8m2!3d38.9537874!4d121.6009941!16s%2Fg%2F12hqp9y4y!19sChIJdUz4vL5fjzUR21C1CQRaYcE?authuser=0&hl=ko&rclk=1,,1.6,18.0
19,China,Dalian,Dalian Sightseeing Tower,,,,,,https://www.google.com/maps/place/Dalian+Sightseeing+Tower/data=!4m7!3m6!1s0x35858aa114d0e3cd:0x7f196c9f28b4739c!8m2!3d38.905972!4d121.632554!16s%2Fg%2F1tghmkg8!19sChIJzePQFKGKhTURnHO0KJ9sGX8?authuser=0&hl=ko&rclk=1,,4.2,18.0
20,China,Dalian,Dalian Modern Museum,,,,,,https://www.google.com/maps/place/Dalian+Modern+Museum/data=!4m7!3m6!1s0x358f61a882c75805:0x5b4b721230c2dd88!8m2!3d38.888416!4d121.586157!16s%2Fg%2F1q6mr55dx!19sChIJBVjHgqhhjzURiN3CMBJyS1s?authuser=0&hl=ko&rclk=1,,4.4,17.0
21,China,Dalian,Bangchui Island Scenic Area （West Gate）,,,,,,https://www.google.com/maps/place/Bangchui+Island+Scenic+Area+%EF%BC%88West+Gate%EF%BC%89/data=!4m7!3m6!1s0x35858b466acfae83:0xaaff0858a497afc3!8m2!3d38.8892222!4d121.702453!16s%2Fg%2F1vqmg9q7!19sChIJg67PakaLhTURw6-XpFgI_6o?authuser=0&hl=ko&rclk=1,,4.4,17.0
22,China,Dalian,童牛岭,,,,,,https://www.google.com/maps/place/%E7%AB%A5%E7%89%9B%E5%B2%AD/data=!4m7!3m6!1s0x3585fa8fca63bb8d:0x365ea609c3a8ecbf!8m2!3d39.04057!4d121.775166!16s%2Fg%2F1tcv8vj_!19sChIJjbtjyo_6hTURv-yowwmmXjY?authuser=0&hl=ko&rclk=1,,4.6,16.0
23,China,Dalian,Dalian Landscape Garden Office Botanical Garden （North Gate 1）,,,,,,https://www.google.com/maps/place/Dalian+Landscape+Garden+Office+Botanical+Garden+%EF%BC%88North+Gate+1%EF%BC%89/data=!4m7!3m6!1s0x35858acc8909813f:0x59d880e1342c1b3f!8m2!3d38.9117308!4d121.6578547!16s%2Fg%2F1tjyrknf!19sChIJP4EJicyKhTURPxssNOGA2Fk?authuser=0&hl=ko&rclk=1,,3.8,13.0
24,China,Dalian,Dalian Bay,,,,,,https://www.google.com/maps/place/Dalian+Bay/data=!4m7!3m6!1s0x3585f5408b4e5147:0xb3a3abda8c78814a!8m2!3d38.941977!4d121.653793!16s%2Fg%2F1ypmn5s6y!19sChIJR1FOi0D1hTURSoF4jNqro7M?authuser=0&hl=ko&rclk=1,,4.4,13.0
25,China,Dalian,Dalian Railway Station,,,,,,https://www.google.com/maps/place/Dalian+Railway+Station/data=!4m7!3m6!1s0x3585f554bcf8f60b:0x60f60aeae5cd8bbf!8m2!3d38.92229!4d121.63313!16s%2Fg%2F11rv36_d9y!19sChIJC_b4vFT1hTURv4vN5eoK9mA?authuser=0&hl=ko&rclk=1,,4.3,12.0
26,China,Dalian,Dalian Development Zone Wanda Plaza,,,,,,https://www.google.com/maps/place/Dalian+Development+Zone+Wanda+Plaza/data=!4m7!3m6!1s0x3585fae0650ac8c1:0x7807cede02ddfcd5!8m2!3d39.061132!4d121.787041!16s%2Fg%2F11cnpw6ffd!19sChIJwcgKZeD6hTUR1fzdAt7OB3g?authuser=0&hl=ko&rclk=1,,4.3,12.0
27,China,Dalian,大连森林动物园野生放养园,,,,,,https://www.google.com/maps/place/%E5%A4%A7%E8%BF%9E%E6%A3%AE%E6%9E%97%E5%8A%A8%E7%89%A9%E5%9B%AD%E9%87%8E%E7%94%9F%E6%94%BE%E5%85%BB%E5%9B%AD/data=!4m7!3m6!1s0x358f602cd8ebffdd:0xfa41d6f9fa9cf890!8m2!3d38.874148!4d121.602473!16s%2Fg%2F1tdqlm4f!19sChIJ3f_r2CxgjzURkPic-vnWQfo?authuser=0&hl=ko&rclk=1,,4.6,11.0
28,China,Dalian,Haizhiyun Park,,,,,,https://www.google.com/maps/place/Haizhiyun+Park/data=!4m7!3m6!1s0x3585f4b3682b5d7f:0x56bcf0b2efa3ad2c!8m2!3d38.901317!4d121.70333!16s%2Fg%2F155rpmn5!19sChIJf10raLP0hTURLK2j77LwvFY?authuser=0&hl=ko&rclk=1,,4.1,11.0
29,China,Dalian,Alice Club,,,,,,https://www.google.com/maps/place/Alice+Club/data=!4m7!3m6!1s0x3585f546451e8c53:0x1afb03b5fa387d72!8m2!3d38.928092!4d121.647396!16s%2Fg%2F1ts3ckwk!19sChIJU4weRUb1hTURcn04-rUD-xo?authuser=0&hl=ko&rclk=1,,4.1,11.0
30,China,Dalian,Donghai Bright Pearl Food City,,,,,,https://www.google.com/maps/place/Donghai+Bright+Pearl+Food+City/data=!4m7!3m6!1s0x3585f5466894e1d1:0x6e5f5810ff2b51dc!8m2!3d38.928379!4d121.646721!16s%2Fg%2F1v_z2908!19sChIJ0eGUaEb1hTUR3FEr_xBYX24?authuser=0&hl=ko&rclk=1,,4.4,10.0
31,China,Dalian,大连世界和平公园,,,,,,https://www.google.com/maps/place/%E5%A4%A7%E8%BF%9E%E4%B8%96%E7%95%8C%E5%92%8C%E5%B9%B3%E5%85%AC%E5%9B%AD/data=!4m7!3m6!1s0x358f61065ebc6e95:0x7b578b8241a9b0cc!8m2!3d38.892636!4d121.578671!16s%2Fg%2F1v6wm8m1!19sChIJlW68XgZhjzURzLCpQYKLV3s?authuser=0&hl=ko&rclk=1,,4.8,10.0
32,China,Dalian,Bird Singing Woods,,,,,,https://www.google.com/maps/place/Bird+Singing+Woods/data=!4m7!3m6!1s0x35858baa99374dfd:0xb2b95ad181df2dd!8m2!3d38.870453!4d121.675609!16s%2Fg%2F1vpfghwk!19sChIJ_U03maqLhTUR3fIdGK2VKws?authuser=0&hl=ko&rclk=1,,4.5,10.0
33,China,Dalian,Dalian Art Exhibition Hall,,,,,,https://www.google.com/maps/place/Dalian+Art+Exhibition+Hall/data=!4m7!3m6!1s0x3585f55050bac13f:0x82c4d44b672fb227!8m2!3d38.927351!4d121.637503!16s%2Fg%2F1tctvhz1!19sChIJP8G6UFD1hTURJ7IvZ0vUxII?authuser=0&hl=ko&rclk=1,,3.8,9.0
34,China,Dalian,Dalian Library,,,,,,https://www.google.com/maps/place/Dalian+Library/data=!4m7!3m6!1s0x358f603af63a1d15:0xb0bbaf969f5a4dac!8m2!3d38.89987!4d121.613795!16s%2Fg%2F1v3hxynr!19sChIJFR069jpgjzURrE1an5avu7A?authuser=0&hl=ko&rclk=1,,4.3,8.0
35,China,Dalian,Dalian Yinggeshi Botanical Garden,,,,,,https://www.google.com/maps/place/Dalian+Yinggeshi+Botanical+Garden/data=!4m7!3m6!1s0x358f6e8254c6496f:0x3b8b2694f58da0c!8m2!3d38.896981!4d121.35816!16s%2Fg%2F1tfhdcsv!19sChIJb0nGVIJujzURDNpYT2myuAM?authuser=0&hl=ko&rclk=1,,4.8,8.0
36,China,Dalian,Modern Buildings on Zhongshan Square in Dalian,,,,,,https://www.google.com/maps/place/Modern+Buildings+on+Zhongshan+Square+in+Dalian/data=!4m7!3m6!1s0x3585f54c6402d09d:0x9de50f9301e87f07!8m2!3d38.920589!4d121.644362!16s%2Fm%2F09v9tqw!19sChIJndACZEz1hTURB3_oAZMP5Z0?authuser=0&hl=ko&rclk=1,,4.3,7.0
37,China,Dalian,Dalian Xijiao National Forest Park,,,,,,https://www.google.com/maps/place/Dalian+Xijiao+National+Forest+Park/data=!4m7!3m6!1s0x358f66d1dc988095:0xa6136a622f4906ec!8m2!3d38.905797!4d121.529544!16s%2Fg%2F1thkpnd4!19sChIJlYCY3NFmjzUR7AZJL2JqE6Y?authuser=0&hl=ko&rclk=1,,4.6,5.0
38,China,Dalian,Hanting Express,,,,,,https://www.google.com/maps/place/Hanting+Express/data=!4m10!3m9!1s0x358f60404e52ac27:0x6d652ac09b86dd18!5m2!4m1!1i2!8m2!3d38.909717!4d121.603173!16s%2Fg%2F1tnpcd2c!19sChIJJ6xSTkBgjzURGN2Gm8AqZW0?authuser=0&hl=ko&rclk=1,,2.5,4.0
39,China,Dalian,Dalian Art Gallery,,,,,,https://www.google.com/maps/place/Dalian+Art+Gallery/data=!4m7!3m6!1s0x3585f55051f48189:0x18bec496ea29a422!8m2!3d38.927351!4d121.6375!16s%2Fg%2F11c5_gbv9z!19sChIJiYH0UVD1hTURIqQp6pbEvhg?authuser=0&hl=ko&rclk=1,,4.3,4.0
40,China,Dalian,Dalian Sports Center Natatorium,,,,,,https://www.google.com/maps/place/Dalian+Sports+Center+Natatorium/data=!4m7!3m6!1s0x358f5eca55078f1b:0x179adcf0abe2b28d!8m2!3d39.015415!4d121.562512!16s%2Fg%2F12vsgk32j!19sChIJG48HVcpejzURjbLiq_Dcmhc?authuser=0&hl=ko&rclk=1,,4.5,4.0
41,China,Dalian,Dalian Lion & Tiger Park （South Gate）,,,,,,https://www.google.com/maps/place/Dalian+Lion+%26+Tiger+Park+%EF%BC%88South+Gate%EF%BC%89/data=!4m7!3m6!1s0x358f724b937af6c3:0x504ed96808e6a111!8m2!3d38.827505!4d121.326746!16s%2Fg%2F1tfpxtpz!19sChIJw_Z6k0tyjzUREaHmCGjZTlA?authuser=0&hl=ko&rclk=1,,3.3,4.0
42,China,Dalian,Daheishan Scenic Area,,,,,,https://www.google.com/maps/place/Daheishan+Scenic+Area/data=!4m7!3m6!1s0x3585fb6892fe65b5:0xc388a8ca77f0dd86!8m2!3d39.090972!4d121.784212!16s%2Fg%2F1tdxhtvt!19sChIJtWX-kmj7hTURht3wd8qoiMM?authuser=0&hl=ko&rclk=1,,4.0,4.0
43,China,Dalian,黄金海岸,,,,,,https://www.google.com/maps/place/%E9%BB%84%E9%87%91%E6%B5%B7%E5%B2%B8/data=!4m7!3m6!1s0x3585dfd23e63d13b:0xb45afa387d3de749!8m2!3d39.076183!4d122.002594!16s%2Fg%2F1thr53m1!19sChIJO9FjPtLfhTURSec9fTj6WrQ?authuser=0&hl=ko&rclk=1,,3.3,4.0
44,China,Dalian,Dalian Port,,,,,,https://www.google.com/maps/place/Dalian+Port/data=!4m7!3m6!1s0x3585f510f3514223:0x273d3acbf96e078e!8m2!3d38.9384599!4d121.66108!16s%2Fg%2F11n8rz0ppk!19sChIJI0JR8xD1hTURjgdu-cs6PSc?authuser=0&hl=ko&rclk=1,,3.8,4.0
45,China,Dalian,Eton Place Dalian,,,,,,https://www.google.com/maps/place/Eton+Place+Dalian/data=!4m7!3m6!1s0x35858aa99cfc66fb:0x737f0ab0fb5e4b72!8m2!3d38.9165077!4d121.6307827!16s%2Fm%2F09v8v0h!19sChIJ-2b8nKmKhTURckte-7AKf3M?authuser=0&hl=ko&rclk=1,,5.0,4.0
46,China,Dalian,People's Square,,,,,,https://www.google.com/maps/place/People%27s+Square/data=!4m7!3m6!1s0x35861513a97fe55f:0x4c0b1d06a2d4f57e!8m2!3d39.400534!4d121.961888!16s%2Fg%2F155sgxb3!19sChIJX-V_qRMVhjURfvXUogYdC0w?authuser=0&hl=ko&rclk=1,,3.7,3.0
47,China,Dalian,다롄 그린랜드 센터,,,,,,https://www.google.com/maps/place/%EB%8B%A4%EB%A1%84+%EA%B7%B8%EB%A6%B0%EB%9E%9C%EB%93%9C+%EC%84%BC%ED%84%B0/data=!4m7!3m6!1s0x3585f521cf212a8b:0x87635649256e7cbe!8m2!3d38.9280319!4d121.6705399!16s%2Fg%2F1q2xhdsmp!19sChIJiyohzyH1hTURvnxuJUlWY4c?authuser=0&hl=ko&rclk=1,,3.7,3.0
48,China,Dalian,Dalian Xiali Golf Club,,,,,,https://www.google.com/maps/place/Dalian+Xiali+Golf+Club/data=!4m7!3m6!1s0x358f5bfc1f62c6d3:0x7a3b5af8d132c301!8m2!3d39.03173!4d121.532712!16s%2Fg%2F1tj7tbrs!19sChIJ08ZiH_xbjzURAcMy0fhaO3o?authuser=0&hl=ko&rclk=1,,4.3,3.0
49,China,Dalian,Dalian Forest Zoo （West Gate 1）,,,,,,https://www.google.com/maps/place/Dalian+Forest+Zoo+%EF%BC%88West+Gate+1%EF%BC%89/data=!4m7!3m6!1s0x358f61b935060fdb:0xf555466c273f9fd8!8m2!3d38.879124!4d121.601347!16s%2Fg%2F1tz73ycv!19sChIJ2w8GNblhjzUR2J8_J2xGVfU?authuser=0&hl=ko&rclk=1,,3.3,3.0
50,China,Dalian,Ocean Park,,,,,,https://www.google.com/maps/place/Ocean+Park/data=!4m7!3m6!1s0x35858b02632e2a25:0x4840c4baae5df9df!8m2!3d38.877949!4d121.674682!16s%2Fg%2F1v3dq23z!19sChIJJSouYwKLhTUR3_ldrrrEQEg?authuser=0&hl=ko&rclk=1,,5.0,3.0
