data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating,popularity
16,China,Nanjing,Sunquanmu,,,,,,https://www.google.com/maps/place/Sunquanmu/data=!4m7!3m6!1s0x35b58d47b7419505:0x39632612a0d0fe87!8m2!3d32.049032!4d118.838634!16s%2Fg%2F155rlx5r!19sChIJBZVBt0eNtTURh_7QoBImYzk?authuser=0&hl=ko&rclk=1,,4.3,25.0
17,China,Nanjing,南京太平天国历史博物馆,,,,,,https://www.google.com/maps/place/%E5%8D%97%E4%BA%AC%E5%A4%AA%E5%B9%B3%E5%A4%A9%E5%9B%BD%E5%8E%86%E5%8F%B2%E5%8D%9A%E7%89%A9%E9%A6%86/data=!4m7!3m6!1s0x35b58c68b8e7039d:0x2076fd709d45b6e3!8m2!3d32.021051!4d118.784995!16zL20vMGQ5OGNn!19sChIJnQPnuGiMtTUR47ZFnXD9diA?authuser=0&hl=ko&rclk=1,,4.0,25.0
18,China,Nanjing,Novotel Nanjing East Suning Galaxy,,,,,,https://www.google.com/maps/place/Novotel+Nanjing+East+Suning+Galaxy/data=!4m10!3m9!1s0x35b5ed09244a339f:0xf12768600d9e2c61!5m2!4m1!1i2!8m2!3d32.085174!4d118.891253!16s%2Fg%2F11bymyxxz8!19sChIJnzNKJAnttTURYSyeDWBoJ_E?authuser=0&hl=ko&rclk=1,,4.5,24.0
19,China,Nanjing,灵谷寺,,,,,,https://www.google.com/maps/place/%E7%81%B5%E8%B0%B7%E5%AF%BA/data=!4m7!3m6!1s0x35b5ed532292799f:0x70c89d1754756ba0!8m2!3d32.054984!4d118.867826!16zL20vMDVkMm15!19sChIJn3mSIlPttTURoGt1VBedyHA?authuser=0&hl=ko&rclk=1,,4.7,23.0
20,China,Nanjing,国民政府主席官邸,,,,,,https://www.google.com/maps/place/%E5%9B%BD%E6%B0%91%E6%94%BF%E5%BA%9C%E4%B8%BB%E5%B8%AD%E5%AE%98%E9%82%B8/data=!4m7!3m6!1s0x35b58d45807e0e3b:0x9f7065adab2bc6fc!8m2!3d32.046188!4d118.849588!16s%2Fg%2F12338gsw!19sChIJOw5-gEWNtTUR_MYrq61lcJ8?authuser=0&hl=ko&rclk=1,,4.4,22.0
21,China,Nanjing,Egret Island Park （North Gate）,,,,,,https://www.google.com/maps/place/Egret+Island+Park+%EF%BC%88North+Gate%EF%BC%89/data=!4m7!3m6!1s0x35b58c5b58c83d95:0x1e428b595ed90f7f!8m2!3d32.018102!4d118.79553!16s%2Fg%2F12vzps6j1!19sChIJlT3IWFuMtTURfw_ZXlmLQh4?authuser=0&hl=ko&rclk=1,,4.1,21.0
22,China,Nanjing,大照壁,,,,,,https://www.google.com/maps/place/%E5%A4%A7%E7%85%A7%E5%A3%81/data=!4m7!3m6!1s0x35b58c682619d3db:0x872d159f439534f4!8m2!3d32.019171!4d118.789523!16s%2Fg%2F1trtsc1_!19sChIJ29MZJmiMtTUR9DSVQ58VLYc?authuser=0&hl=ko&rclk=1,,4.6,17.0
23,China,Nanjing,南京眼,,,,,,https://www.google.com/maps/place/%E5%8D%97%E4%BA%AC%E7%9C%BC/data=!4m7!3m6!1s0x35b58923a37f27b3:0x2a58de73cd15992b!8m2!3d31.9949559!4d118.7032814!16s%2Fg%2F11h4_r9xsf!19sChIJsyd_oyOJtTURK5kVzXPeWCo?authuser=0&hl=ko&rclk=1,,4.6,17.0
24,China,Nanjing,Jiangning Imperial Silk Manufacturing Museum （West Gate）,,,,,,https://www.google.com/maps/place/Jiangning+Imperial+Silk+Manufacturing+Museum+%EF%BC%88West+Gate%EF%BC%89/data=!4m7!3m6!1s0x35b58ced96706593:0xdee7f76bc57fe892!8m2!3d32.04206!4d118.793726!16s%2Fg%2F1ygbchyb6!19sChIJk2Vwlu2MtTURkuh_xWv3594?authuser=0&hl=ko&rclk=1,,4.1,17.0
25,China,Nanjing,"College of Fine Art, Nanjing Art Institute",,,,,,"https://www.google.com/maps/place/College+of+Fine+Art,+Nanjing+Art+Institute/data=!4m7!3m6!1s0x35b58b434bd7400d:0x158ba6129b4a99ae!8m2!3d32.065092!4d118.754434!16s%2Fg%2F1tj43yx5!19sChIJDUDXS0OLtTURrplKmxKmixU?authuser=0&hl=ko&rclk=1",,4.6,14.0
