data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating,popularity
16,China,Harbin,Harbin Exhibition Hall of Arts and Crafts of Ice and Snow,,,,,,https://www.google.com/maps/place/Harbin+Exhibition+Hall+of+Arts+and+Crafts+of+Ice+and+Snow/data=!4m7!3m6!1s0x5e4381cdc8d7ee57:0x98147222065266f9!8m2!3d45.791004!4d126.5913959!16s%2Fg%2F1v3_2g5j!19sChIJV-7XyM2BQ14R-WZSBiJyFJg?authuser=0&hl=ko&rclk=1,,4.1,15.0
17,China,Harbin,Taiyang Island Xuebohui,,,,,,https://www.google.com/maps/place/Taiyang+Island+Xuebohui/data=!4m7!3m6!1s0x5e438033dfd507d1:0xf662084d14ee502d!8m2!3d45.785611!4d126.6009221!16s%2Fg%2F1tzlyr5z!19sChIJ0QfV3zOAQ14RLVDuFE0IYvY?authuser=0&hl=ko&rclk=1,,3.9,15.0
18,China,Harbin,크라운 플라자 하얼빈 송베이,,,,,,https://www.google.com/maps/place/%ED%81%AC%EB%9D%BC%EC%9A%B4+%ED%94%8C%EB%9D%BC%EC%9E%90+%ED%95%98%EC%96%BC%EB%B9%88+%EC%86%A1%EB%B2%A0%EC%9D%B4/data=!4m10!3m9!1s0x5e4381f108e73075:0xf7e014b7ef4b5d4e!5m2!4m1!1i2!8m2!3d45.8037!4d126.553535!16s%2Fg%2F11g9r2skxg!19sChIJdTDnCPGBQ14RTl1L77cU4Pc?authuser=0&hl=ko&rclk=1,,4.5,14.0
19,China,Harbin,Site of New Jewish Synagogue,,,,,,https://www.google.com/maps/place/Site+of+New+Jewish+Synagogue/data=!4m7!3m6!1s0x5e43806c139384df:0xa015cd749d77214a!8m2!3d45.7684442!4d126.6170667!16s%2Fg%2F1tffjk2x!19sChIJ34STE2yAQ14RSiF3nXTNFaA?authuser=0&hl=ko&rclk=1,,4.3,14.0
20,China,Harbin,Daoli Vegetable Market,,,,,,https://www.google.com/maps/place/Daoli+Vegetable+Market/data=!4m7!3m6!1s0x5e43806d39d9e0db:0x5c6b35bdfcc3716f!8m2!3d45.769461!4d126.62394!16s%2Fg%2F11qgb1l1k3!19sChIJ2-DZOW2AQ14Rb3HD_L01a1w?authuser=0&hl=ko&rclk=1,,4.2,11.0
21,China,Harbin,Harbin Amusement Park,,,,,,https://www.google.com/maps/place/Harbin+Amusement+Park/data=!4m7!3m6!1s0x5e447f8cdcbcd70b:0x2850660aaa667a00!8m2!3d45.780212!4d126.668825!16s%2Fg%2F1tdkrl47!19sChIJC9e83Ix_RF4RAHpmqgpmUCg?authuser=0&hl=ko&rclk=1,,3.4,11.0
22,China,Harbin,Ice and Snow World Theme Park,,,,,,https://www.google.com/maps/place/Ice+and+Snow+World+Theme+Park/data=!4m7!3m6!1s0x5e4381af14ffb20d:0xf469885993d9852c!8m2!3d45.778!4d126.5630499!16s%2Fg%2F11rv9cjg3j!19sChIJDbL_FK-BQ14RLIXZk1mIafQ?authuser=0&hl=ko&rclk=1,,4.8,8.0
23,China,Harbin,Heilongjiang Science and Technology Museum,,,,,,https://www.google.com/maps/place/Heilongjiang+Science+and+Technology+Museum/data=!4m7!3m6!1s0x5e4381b2bb14cd5f:0x51e72fa30fa73ce5!8m2!3d45.777376!4d126.577412!16s%2Fg%2F155qph9x!19sChIJX80Uu7KBQ14R5TynD6Mv51E?authuser=0&hl=ko&rclk=1,,4.1,8.0
24,China,Harbin,Heilongjiang Forest Botanical Garden （Northwest Gate 2）,,,,,,https://www.google.com/maps/place/Heilongjiang+Forest+Botanical+Garden+%EF%BC%88Northwest+Gate+2%EF%BC%89/data=!4m7!3m6!1s0x5e447ed9954a8ab5:0x13a12495f4ab70a!8m2!3d45.710036!4d126.645792!16s%2Fg%2F11cn6ccdvj!19sChIJtYpKldl-RF4RCrdKX0kSOgE?authuser=0&hl=ko&rclk=1,,4.6,8.0
25,China,Harbin,Wudalianchi Global Geopark,,,,,,https://www.google.com/maps/place/Wudalianchi+Global+Geopark/data=!4m7!3m6!1s0x5e447fdb76181219:0x60135a6ecfa7e846!8m2!3d45.761246!4d126.685065!16s%2Fg%2F155pncqk!19sChIJGRIYdtt_RF4RRuinz25aE2A?authuser=0&hl=ko&rclk=1,,4.4,8.0
26,China,Harbin,Mercure Harbin Sophia Church,,,,,,https://www.google.com/maps/place/Mercure+Harbin+Sophia+Church/data=!4m10!3m9!1s0x5e438013a0a7eebb:0x59637a847edca189!5m2!4m1!1i2!8m2!3d45.772714!4d126.624586!16s%2Fg%2F11hzhyl895!19sChIJu-6noBOAQ14RiaHcfoR6Y1k?authuser=0&hl=ko&rclk=1,,4.1,7.0
27,China,Harbin,Harbin Music Park,,,,,,https://www.google.com/maps/place/Harbin+Music+Park/data=!4m7!3m6!1s0x5e4380ec1f32cf03:0xa9174205dbdfa0bf!8m2!3d45.7523661!4d126.5724139!16s%2Fg%2F12vqzttzm!19sChIJA88yH-yAQ14Rv6Df2wVCF6k?authuser=0&hl=ko&rclk=1,,4.9,7.0
28,China,Harbin,Children's Park （South Gate）,,,,,,https://www.google.com/maps/place/Children%27s+Park+%EF%BC%88South+Gate%EF%BC%89/data=!4m7!3m6!1s0x5e447f93a501f5f3:0x2a0efc2f0c405702!8m2!3d45.757112!4d126.652291!16s%2Fg%2F1tf86w26!19sChIJ8_UBpZN_RF4RAldADC_8Dio?authuser=0&hl=ko&rclk=1,,3.6,7.0
29,China,Harbin,완다 비스타 하얼빈,,,,,,https://www.google.com/maps/place/%EC%99%84%EB%8B%A4+%EB%B9%84%EC%8A%A4%ED%83%80+%ED%95%98%EC%96%BC%EB%B9%88/data=!4m10!3m9!1s0x5e43823bd35996bb:0xfd6d2179a2378fa9!5m2!4m1!1i2!8m2!3d45.80406!4d126.51074!16s%2Fg%2F11gd67nmrn!19sChIJu5ZZ0zuCQ14RqY83onkhbf0?authuser=0&hl=ko&rclk=1,,4.4,7.0
30,China,Harbin,Harbin North Korean Folk Art Gallery,,,,,,https://www.google.com/maps/place/Harbin+North+Korean+Folk+Art+Gallery/data=!4m7!3m6!1s0x5e438065237f3e51:0xf2a1c96285f49b0e!8m2!3d45.761175!4d126.612639!16s%2Fg%2F1q5j618cl!19sChIJUT5_I2WAQ14RDpv0hWLJofI?authuser=0&hl=ko&rclk=1,,4.7,7.0
31,China,Harbin,Harbin Workers Cultural Palace,,,,,,https://www.google.com/maps/place/Harbin+Workers+Cultural+Palace/data=!4m7!3m6!1s0x5e447f97a3ea952f:0x460171d8d41e41b5!8m2!3d45.750138!4d126.652996!16s%2Fg%2F1tmqf_85!19sChIJL5Xqo5d_RF4RtUEe1NhxAUY?authuser=0&hl=ko&rclk=1,,4.5,6.0
32,China,Harbin,冰灯游园会,,,,,,https://www.google.com/maps/place/%E5%86%B0%E7%81%AF%E6%B8%B8%E5%9B%AD%E4%BC%9A/data=!4m7!3m6!1s0x5e438016425f6a17:0x6e0d163a097283be!8m2!3d45.777685!4d126.622481!16s%2Fg%2F1vj5zzsg!19sChIJF2pfQhaAQ14RvoNyCToWDW4?authuser=0&hl=ko&rclk=1,,4.7,6.0
33,China,Harbin,더 노스 인터내셔널 유스호스텔,,,,,,https://www.google.com/maps/place/%EB%8D%94+%EB%85%B8%EC%8A%A4+%EC%9D%B8%ED%84%B0%EB%82%B4%EC%85%94%EB%84%90+%EC%9C%A0%EC%8A%A4%ED%98%B8%EC%8A%A4%ED%85%94/data=!4m10!3m9!1s0x5e438079192dd9ed:0x1b7fb9b14628d748!5m2!4m1!1i2!8m2!3d45.75639!4d126.621356!16s%2Fg%2F1wk4cvf1!19sChIJ7dktGXmAQ14RSNcoRrG5fxs?authuser=0&hl=ko&rclk=1,,4.0,6.0
34,China,Harbin,Historical Museum of Shangjin of Jin Dynasty,,,,,,https://www.google.com/maps/place/Historical+Museum+of+Shangjin+of+Jin+Dynasty/data=!4m7!3m6!1s0x5e445cd03608503b:0x63a4d99cf221a985!8m2!3d45.497416!4d126.968479!16s%2Fg%2F12vzpw4l6!19sChIJO1AINtBcRF4Rhakh8pzZpGM?authuser=0&hl=ko&rclk=1,,4.8,5.0
35,China,Harbin,Shuige Yuntian,,,,,,https://www.google.com/maps/place/Shuige+Yuntian/data=!4m7!3m6!1s0x5e4381cd7e6140d7:0xd07aa38950208dc3!8m2!3d45.791475!4d126.5955981!16s%2Fg%2F1td5fx48!19sChIJ10Bhfs2BQ14Rw40gUImjetA?authuser=0&hl=ko&rclk=1,,4.0,5.0
36,China,Harbin,Harbin Public Security Bureau Veteran Cadre Activities Centre,,,,,,https://www.google.com/maps/place/Harbin+Public+Security+Bureau+Veteran+Cadre+Activities+Centre/data=!4m7!3m6!1s0x5e438071ff664d97:0xe03e2c432c974ca6!8m2!3d45.765667!4d126.621427!16s%2Fg%2F11c2nvz3vt!19sChIJl01m_3GAQ14RpkyXLEMsPuA?authuser=0&hl=ko&rclk=1,,4.2,5.0
37,China,Harbin,黑龙江省森林植物园,,,,,,https://www.google.com/maps/place/%E9%BB%91%E9%BE%99%E6%B1%9F%E7%9C%81%E6%A3%AE%E6%9E%97%E6%A4%8D%E7%89%A9%E5%9B%AD/data=!4m7!3m6!1s0x5e447ecfa12e7dc5:0x182bed6a500c8fdb!8m2!3d45.703661!4d126.6518289!16s%2Fg%2F113dyw6h5!19sChIJxX0uoc9-RF4R248MUGrtKxg?authuser=0&hl=ko&rclk=1,,3.8,4.0
