data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating,popularity
16,China,Suzhou,Suzhou Tongli Guzhen Tourism Area,,,,,,https://www.google.com/maps/place/Suzhou+Tongli+Guzhen+Tourism+Area/data=!4m7!3m6!1s0x35b305f0c198d7cb:0x512905ae9c304566!8m2!3d31.153555!4d120.719033!16s%2Fg%2F11cnp909gr!19sChIJy9eYwfAFszURZkUwnK4FKVE?authuser=0&hl=ko&rclk=1,,4.5,22.0
17,China,Suzhou,Fangta Garden,,,,,,https://www.google.com/maps/place/Fangta+Garden/data=!4m7!3m6!1s0x35b3c8d1b29669d1:0x2618ba354fa7a7a5!8m2!3d31.64591!4d120.748583!16s%2Fg%2F1tdx24qz!19sChIJ0WmWstHIszURpaenTzW6GCY?authuser=0&hl=ko&rclk=1,,3.8,21.0
18,China,Suzhou,Garden of Pleasance,,,,,,https://www.google.com/maps/place/Garden+of+Pleasance/data=!4m7!3m6!1s0x35b3a72ce06882eb:0x5312193d55f384a9!8m2!3d31.307659!4d120.621504!16s%2Fm%2F0b6gw_4!19sChIJ64Jo4CynszURqYTzVT0ZElM?authuser=0&hl=ko&rclk=1,,4.3,19.0
19,China,Suzhou,Lingyanshan Scenic Area,,,,,,https://www.google.com/maps/place/Lingyanshan+Scenic+Area/data=!4m7!3m6!1s0x35b374dde603ac99:0xd3d2dce648b3e529!8m2!3d31.256932!4d120.505991!16s%2Fg%2F1vxvfwy5!19sChIJmawD5t10szURKeWzSObc0tM?authuser=0&hl=ko&rclk=1,,4.1,19.0
20,China,Suzhou,Ancient Town Zhouzhuang Tourism Consultation Services,,,,,,https://www.google.com/maps/place/Ancient+Town+Zhouzhuang+Tourism+Consultation+Services/data=!4m7!3m6!1s0x35b303cc6a04a257:0x6e82b7bbc8687245!8m2!3d31.1177692!4d120.8458302!16s%2Fg%2F1tcw1mmh!19sChIJV6IEaswDszURRXJoyLu3gm4?authuser=0&hl=ko&rclk=1,,4.5,19.0
21,China,Suzhou,Suzhou Museum West Hall,,,,,,https://www.google.com/maps/place/Suzhou+Museum+West+Hall/data=!4m7!3m6!1s0x35b30aa1b4dbf23b:0x61c5c4162080df15!8m2!3d31.2902!4d120.54929!16s%2Fg%2F11pc9vytsr!19sChIJO_LbtKEKszURFd-AIBbExWE?authuser=0&hl=ko&rclk=1,,4.7,17.0
22,China,Suzhou,Suzhou Museum of Opera and Theatre,,,,,,https://www.google.com/maps/place/Suzhou+Museum+of+Opera+and+Theatre/data=!4m7!3m6!1s0x35b3a6d8cdfe8aa5:0x7c8a8654c58908e9!8m2!3d31.312947!4d120.636064!16s%2Fm%2F080cskv!19sChIJpYr-zdimszUR6QiJxVSGinw?authuser=0&hl=ko&rclk=1,,4.3,17.0
23,China,Suzhou,Quyuan,,,,,,https://www.google.com/maps/place/Quyuan/data=!4m7!3m6!1s0x35b3a0d31626a713:0xf556094a19d5fb7d!8m2!3d31.3092185!4d120.618433!16s%2Fg%2F155sbb77!19sChIJE6cmFtOgszURffvVGUoJVvU?authuser=0&hl=ko&rclk=1,,4.2,17.0
24,China,Suzhou,Jiangsu Yushan National Forest Park,,,,,,https://www.google.com/maps/place/Jiangsu+Yushan+National+Forest+Park/data=!4m7!3m6!1s0x35b3cf51580f9325:0x306e5712eca54216!8m2!3d31.666732!4d120.718518!16s%2Fg%2F1vystk_j!19sChIJJZMPWFHPszURFkKl7BJXbjA?authuser=0&hl=ko&rclk=1,,4.8,17.0
25,China,Suzhou,Chaozong Pavilion,,,,,,https://www.google.com/maps/place/Chaozong+Pavilion/data=!4m7!3m6!1s0x35b3a0d95cbbf381:0xaed03c0b4bcb3a92!8m2!3d31.315348!4d120.603871!16s%2Fg%2F11cnpg7j2z!19sChIJgfO7XNmgszURkjrLSws80K4?authuser=0&hl=ko&rclk=1,,4.1,16.0
