data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating,popularity
16,China,Shenzhen,Nam Sang Wai Fishpond Education Kiosk,,,,,,https://www.google.com/maps/place/Nam+Sang+Wai+Fishpond+Education+Kiosk/data=!4m7!3m6!1s0x3403f0c9ee7a23f7:0x61b1371532a9dd73!8m2!3d22.4641001!4d114.0419642!16s%2Fg%2F11bbwz6_pc!19sChIJ9yN67snwAzQRc92pMhU3sWE?authuser=0&hl=ko&rclk=1,,4.1,141.0
17,China,Shenzhen,홍콩 예빈부,,,비정기적으로 개방되는 1800년대 식민지 시대 저택으로 정원에 다양한 빛깔의 진달래가 피어 있습니다.,,,https://www.google.com/maps/place/%ED%99%8D%EC%BD%A9+%EC%98%88%EB%B9%88%EB%B6%80/data=!4m7!3m6!1s0x340400656af9e59f:0xbcb9a0715b0a9da1!8m2!3d22.278446!4d114.1572199!16s%2Fg%2F1tnmp9_8!19sChIJn-X5amUABDQRoZ0KW3Ggubw?authuser=0&hl=ko&rclk=1,,3.9,94.0
18,China,Shenzhen,华侨城创意文化园T街创意市集,,,,,,https://www.google.com/maps/place/%E5%8D%8E%E4%BE%A8%E5%9F%8E%E5%88%9B%E6%84%8F%E6%96%87%E5%8C%96%E5%9B%ADT%E8%A1%97%E5%88%9B%E6%84%8F%E5%B8%82%E9%9B%86/data=!4m7!3m6!1s0x3403f1877b2b50f7:0x8ddc014f0332868c!8m2!3d22.5373015!4d113.9930463!16s%2Fg%2F113g_h4fw!19sChIJ91Are4fxAzQRjIYyA08B3I0?authuser=0&hl=ko&rclk=1,,3.9,82.0
19,China,Shenzhen,Shenzhen Concert Hall,,,,,,https://www.google.com/maps/place/Shenzhen+Concert+Hall/data=!4m7!3m6!1s0x3403f40cf8c6e615:0xf8b663ffc70188f2!8m2!3d22.547314!4d114.057286!16s%2Fg%2F1thf64vn!19sChIJFebG-Az0AzQR8ogBx_9jtvg?authuser=0&hl=ko&rclk=1,,4.5,76.0
20,China,Shenzhen,The Museum of the Former Residence of Sun Yat-sen,,,,,,https://www.google.com/maps/place/The+Museum+of+the+Former+Residence+of+Sun+Yat-sen/data=!4m7!3m6!1s0x3403d0d78081a799:0xe5670da2d1b69db6!8m2!3d22.441735!4d113.528243!16s%2Fg%2F155pdjc6!19sChIJmaeBgNfQAzQRtp220aINZ-U?authuser=0&hl=ko&rclk=1,,4.5,75.0
21,China,Shenzhen,Cuizhu Park,,,,,,https://www.google.com/maps/place/Cuizhu+Park/data=!4m7!3m6!1s0x3403f5779efe675b:0x3b97d34313e409f4!8m2!3d22.563242!4d114.133266!16s%2Fg%2F1tglkht6!19sChIJW2f-nnf1AzQR9AnkE0PTlzs?authuser=0&hl=ko&rclk=1,,3.8,65.0
22,China,Shenzhen,Former French Mission Building,,,,,,https://www.google.com/maps/place/Former+French+Mission+Building/data=!4m7!3m6!1s0x34040065b20afc1f:0xf496af9560a85cbc!8m2!3d22.2793919!4d114.159725!16zL20vMDY2NDZk!19sChIJH_wKsmUABDQRvFyoYJWvlvQ?authuser=0&hl=ko&rclk=1,,4.3,63.0
23,China,Shenzhen,Tianshang Renjian,,,,,,https://www.google.com/maps/place/Tianshang+Renjian/data=!4m7!3m6!1s0x34040a934115c1b3:0x644f0f3e2cd3214a!8m2!3d22.570611!4d114.166502!16s%2Fg%2F11cnpfgqlv!19sChIJs8EVQZMKBDQRSiHTLD4PT2Q?authuser=0&hl=ko&rclk=1,,4.2,63.0
24,China,Shenzhen,Heung Hoi Ming Shan Memorial Archway,,,,,,https://www.google.com/maps/place/Heung+Hoi+Ming+Shan+Memorial+Archway/data=!4m7!3m6!1s0x3403fb31326dd295:0x471497d983051f1f!8m2!3d22.3921256!4d113.961767!16s%2Fg%2F1hbpwxgk7!19sChIJldJtMjH7AzQRHx8Fg9mXFEc?authuser=0&hl=ko&rclk=1,,3.9,59.0
25,China,Shenzhen,深圳人才公園,,,,,,https://www.google.com/maps/place/%E6%B7%B1%E5%9C%B3%E4%BA%BA%E6%89%8D%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3403ef575e918cd9:0xc61ce8545f3e3985!8m2!3d22.5134697!4d113.946064!16s%2Fg%2F11h047dsq3!19sChIJ2YyRXlfvAzQRhTk-X1ToHMY?authuser=0&hl=ko&rclk=1,,4.6,52.0
